iter	Passed	Remaining
0	3	335
1	5	252
2	6	204
3	7	173
4	8	158
5	10	160
6	11	154
7	13	151
8	14	146
9	16	146
10	17	142
11	18	137
12	19	133
13	21	129
14	22	127
15	23	124
16	24	120
17	25	117
18	27	115
19	28	113
20	29	112
21	30	109
22	32	107
23	33	105
24	34	103
25	35	100
26	36	99
27	37	97
28	39	95
29	40	94
30	41	92
31	42	91
32	44	89
33	45	87
34	46	86
35	47	85
36	49	83
37	50	82
38	51	80
39	52	78
40	53	77
41	53	74
42	54	72
43	55	70
44	56	69
45	58	68
46	59	66
47	59	64
48	61	63
49	61	61
50	63	60
51	64	59
52	65	58
53	66	56
54	69	56
55	70	55
56	72	54
57	74	53
58	75	52
59	76	50
60	77	49
61	79	48
62	80	47
63	81	46
64	83	44
65	84	43
66	85	42
67	86	40
68	88	39
69	89	38
70	90	36
71	91	35
72	92	34
73	93	32
74	94	31
75	95	30
76	97	28
77	98	27
78	99	26
79	100	25
80	101	23
81	102	22
82	104	21
83	105	20
84	106	18
85	107	17
86	109	16
87	110	15
88	111	13
89	112	12
90	113	11
91	114	9
92	115	8
93	116	7
94	117	6
95	118	4
96	119	3
97	120	2
98	121	1
99	122	0
